Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Sinaloa<C1>",NA,1.184581637954,3.854177242248,4.609447702532,-0.604409187327,7.250368944875,-10.264492545237,-6.871458393563,-2.216369749938,0.704060052773,-3.421319357903,-0.336899560532,5.825187414659,3.019338954185,1.078969377046,3.139275497229,0.005252689584,-12.85751342103,13.175896213843,3.420569746362,0.449684577549
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Sonora<C1>",NA,4.13981562476,5.642594050722,17.262175574126,-1.140587172941,7.676768397868,-16.393349408454,1.036281684997,2.765507041055,-0.012959645779,1.524365395653,1.159989342524,5.872340416741,-0.676172545129,-4.461312097716,-0.946293366006,0.262131567974,-16.645174755868,17.663669052909,13.305774901833,11.118275546386
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tabasco<C1>",NA,1.514616658299,4.158918463623,5.590920702268,-5.020086067349,7.970698520053,-9.437594273085,-5.752026980855,0.331039555927,0.541767392114,-0.903038841827,-0.085344248737,14.594887542649,-3.520721636727,-2.752889910404,-2.775700085021,-2.195134936307,-14.811461648984,28.996541235935,8.445622662413,-1.341952056324
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tamaulipas<C1>",NA,5.02392612307,4.9417644381,6.38510247711,0.201298282096,6.213698398266,-15.26045070153,-3.640270833928,-1.075837134437,3.850025897555,-2.925081728083,5.874819593027,7.856416477414,1.759067868386,1.603595145706,4.181330088753,4.532424398151,-10.458461964295,8.838855003359,3.447832809977,1.545436291899
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Tlaxcala<C1>",NA,9.358772803129,-8.54034228828,6.596052613744,-4.933982598815,3.668005604763,-10.752192902909,-0.444515123634,1.253712270061,-2.388649046213,-1.456445792117,9.430681168908,10.65728321703,1.668747456125,2.963082970002,2.987155122011,-0.399563888794,-10.665028853742,7.459946264033,1.555327178419,4.458329028999
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Veracruz de Ignacio de la Llave<C1>",NA,0.994362415476,-0.581311433104,3.332675824279,-1.260936662499,5.262311903706,-9.806776872436,-4.328889987946,-1.650775951466,-0.97770890513,-4.392852647515,5.665078058384,5.646512250517,-0.980730000287,-2.320147561876,0.022608668638,3.040607229602,-11.485406343841,10.36429528507,3.74319829785,3.032111696543
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Yucatán<C1>",NA,3.494455496266,5.373544472141,4.246542523174,0.126574450732,3.894727072904,-11.369547420854,-2.77952740873,2.268162749344,-1.419378184422,-4.081650353526,4.133658110375,5.038859518356,3.964516611978,6.614100960657,10.598859946445,0.996282713136,-12.739075193217,12.1976713309,5.668400290852,6.055187066142
"Variación porcentual anual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Zacatecas<C1>",NA,5.550759178582,13.56802597075,6.785511266104,1.810445938397,8.790858177571,-5.15207435405,7.716458975046,-13.851142574141,-0.073084973201,-14.16475868112,19.240178514732,7.309564804938,-0.613621140591,0.035429142919,13.043413227577,-4.52178037929,-10.335984895454,6.338562038232,1.47410358132,-4.8506579727
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Estados Unidos Mexicanos<C1>",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Aguascalientes<C1>",1.142580472397,1.157254718192,1.15589111386,1.21032094426,1.31440842577,1.269222462105,1.232592810765,1.320873716603,1.366815849574,1.400121136674,1.439067940256,1.591154239713,1.613934740432,1.619845482331,1.578842491521,1.577190124375,1.583324975018,1.625351518414,1.537888361232,1.443832430224,1.556688995545
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Baja California<C1>",4.255137570383,4.197065332127,4.306879375294,4.523533882688,4.492018794764,4.254199779677,3.920956992594,3.991111061085,3.956671324462,4.056444674326,4.090548850073,4.115629143536,4.073511473934,4.15845625056,4.193776969362,4.201672260684,4.330410096542,4.43365987004,4.421332702023,4.439494818169,4.523291759193
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Baja California Sur<C1>",0.504793081145,0.53101865353,0.578171828059,0.602348891624,0.660708446577,0.64406313911,0.682317353277,0.649535910764,0.640350412809,0.645522328087,0.621027975234,0.618028311969,0.642617230924,0.662605951516,0.683064441674,0.707566176747,0.688620820864,0.584058901641,0.721023126526,0.742117810596,0.734788289146
"Estructura porcentual en valores constantes|D.21-D.31---Impuestos sobre los productos, netos|Campeche<C1>",0.605428420069,0.602170555149,0.632418724895,0.618924705625,0.596767743389,0.603749491899,0.632593745085,0.597968944129,0.58410354618,0.554009775624,0.548735682677,0.550886921107,1.035192531016,0.927091960026,0.798874101172,0.704754718435,0.71806189761,0.453274883725,0.720318716779,0.659003214856,0.723760942753
