Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,0.022441467,0.021287409,0.019911663,0.020336997,0.020360461,0.019648233,0.021739715,0.021825384,0.022135797,0.022383934,0.021031224,0.021610922,0.022028328,0.023383,0.023890606,0.023098491,0.023787361,0.026084576,0.027399394,0.029351899,0.028763026,
"Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación<C1>",3.356159105,3.455075866,3.461533001,3.645289373,3.778990696,3.97238606,3.753424682,3.498567708,3.54586515,3.406413397,3.420284212,3.196690165,3.083135081,3.073062111,3.225747738,3.211287196,3.284319684,3.453021345,2.658216833,0.981564871,0.951284253,
Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|61---Servicios educativos<C1>,4.016669108,3.973064783,3.890834881,3.670650303,3.646441776,3.543251808,3.838447445,3.691524984,3.599039011,3.545672607,3.546540708,3.368256832,3.20679975,3.171638616,3.050173958,2.93983345,2.873788629,3.027354109,2.83004323,2.783997094,2.783475139,
Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2.281316292,2.218830953,2.082938521,2.097925672,2.083323967,2.023808341,2.204202305,2.066215913,2.097959579,2.113072757,2.088764836,2.004375254,1.847499123,1.930058482,1.920047985,2.008978203,2.121340916,2.129743263,2.168088901,2.098934676,2.051165116,
"Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",0.648812975,0.642910343,0.631607893,0.629919371,0.646755842,0.640437469,0.656702415,0.640915688,0.627287866,0.618657469,0.625077029,0.602084587,0.601155993,0.610130678,0.614457298,0.607409444,0.598081237,0.378220936,0.457327258,0.624844553,0.64141002,
Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,2.937291621,2.726618502,2.870998537,2.810408548,2.743373669,2.689351779,2.665049945,2.483190639,2.469338541,2.451123021,2.52831232,2.329250014,2.56232649,2.540668932,2.528022852,2.486402831,2.478110131,1.478746449,2.050712677,2.342364259,2.04768039,
Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,2.744626673,2.771895458,2.783190333,2.680111827,2.708186444,2.713282622,2.883703287,2.732489587,2.655970015,2.673639924,2.626161195,2.562607243,2.50906111,2.548212752,2.509320814,2.479214456,2.500388882,2.38109942,2.303893161,2.227453427,2.261474464,
"Estructura porcentual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",2.844417198,2.752888101,2.696370712,2.55605784,2.512292507,2.457027621,2.778796327,2.802043159,2.764625881,2.90923212,2.825998574,2.700958655,2.60083085,2.539912737,2.488609748,2.386097133,2.368441328,2.562858863,2.404165567,2.275434807,2.247939631,
Contribución a la variación del estado en valores constantes|B.1bP---Producto interno bruto<C1>,NA,2.865122772,2.241912009,5.110403692,2.994002488,2.021107325,-6.572202234,5.944097192,2.834951827,3.867707255,1.710030416,3.538441691,3.770213159,3.053197982,1.89220517,2.695299654,0.737883947,-8.087406604,5.434906161,4.970830489,2.056610147,
"Contribución a la variación del estado en valores constantes|D.21-D.31---Impuestos sobre los productos, netos",NA,0.174210953,0.363813292,0.360101034,-0.034929393,0.520276151,-0.879364374,0.040097627,-0.284198324,0.303240185,-0.027120277,0.304765505,0.353184575,0.029437145,0.085070631,0.182790577,0.268014304,-1.042528034,0.649939499,0.466673277,0.163437659,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,NA,2.690911818,1.878098716,4.750302658,3.028931881,1.500831174,-5.69283786,5.903999566,3.119150151,3.56446707,1.737150693,3.233676185,3.417028584,3.023760837,1.807134539,2.512509077,0.469869643,-7.04487857,4.784966662,4.504157212,1.893172488,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,NA,0.657641513,-0.256951594,0.361211434,0.445691254,0.129496662,-0.770015268,0.526712175,-0.006644446,0.553945016,-0.005606547,0.716043406,-0.209862975,0.093894405,0.093353049,0.204938001,0.134923193,0.152136751,-0.065548343,0.255130343,-0.057720045,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",NA,0.657641513,-0.256951594,0.361211434,0.445691254,0.129496662,-0.770015268,0.526712175,-0.006644446,0.553945016,-0.005606547,0.716043406,-0.209862975,0.093894405,0.093353049,0.204938001,0.134923193,0.152136751,-0.065548343,0.255130343,-0.057720045,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",NA,0.548035048,-0.1582405,0.128637919,0.362845288,0.133975747,-0.766535132,0.340910142,0.04091907,0.367624668,0.076334622,0.690177672,-0.259557703,0.029628631,0.036178252,0.110480053,0.067179955,0.064100563,-0.13533832,0.215911737,-0.12823899,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",NA,0.08736431,0.006837429,0.161443511,0.09302592,0.001510587,0.059275021,0.091874625,0.040179946,-0.007428837,0.099341684,0.027456147,0.038092054,0.077125334,0.05144717,0.08944378,0.067595135,0.091120183,0.071361019,0.036184532,0.074886082,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",NA,0.002339686,-0.002026544,-7.14591E-05,0.016058434,-0.012813396,-0.003303363,0.000450329,-0.002055428,0.000413554,0.004905762,0.000657234,-0.000184672,0.001066359,0.000738777,-0.000811292,-0.000673705,-0.003080317,-0.001716097,-0.000733671,0.00132693,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",NA,0.019902469,-0.103521979,0.071201463,-0.026238388,0.006823725,-0.059451794,0.093477079,-0.085688033,0.193335631,-0.186188615,-0.002247647,0.011787346,-0.013925919,0.004988849,0.005825459,0.000821809,-3.6783E-06,0.000145055,0.003767745,-0.005694068,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,NA,0.193644925,1.02121612,1.686977667,0.756637152,0.135632262,-2.112099006,1.793848331,0.790657878,1.067945933,0.575626919,1.279027574,1.911653242,0.247552051,0.68085203,-0.234037723,-0.106491154,-2.389133375,1.36137072,2.112779216,0.140002012,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,NA,-0.027992168,0.021102952,-0.019848362,0.067022755,0.039878173,0.044768975,0.208122752,0.137167167,0.05525468,0.262360535,-0.084338228,-0.263874619,0.116140345,0.064859511,-0.243931291,-0.05407491,0.185997376,-0.013095729,0.022040685,-0.332557426,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,NA,-0.027992168,0.021102952,-0.019848362,0.067022755,0.039878173,0.044768975,0.208122752,0.137167167,0.05525468,0.262360535,-0.084338228,-0.263874619,0.116140345,0.064859511,-0.243931291,-0.05407491,0.185997376,-0.013095729,0.022040685,-0.332557426,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",NA,0.11671396,0.002468519,0.237997972,0.139311679,-0.020804841,-0.027125188,0.037943511,-0.054091435,0.028623722,0.027427744,0.071687514,0.037283262,0.008930501,0.074370202,0.011548234,-0.010986333,0.068261676,-0.273569618,-0.011701663,-0.043072578,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,NA,0.613801583,0.426539905,0.15437079,0.776970045,1.000847229,-1.16901358,0.33432343,0.947231716,-0.308790339,-0.135423502,-0.523441149,0.965087378,0.012427964,0.398920917,-0.364741118,-0.59106106,-0.759458486,0.212187549,0.173953658,0.110377974,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,NA,-0.50887845,0.571104745,1.314457267,-0.226667326,-0.884288299,-0.960729213,1.213458638,-0.23964957,1.29285787,0.421262142,1.815119437,1.17315722,0.110053241,0.1427014,0.363086453,0.549631149,-1.883933942,1.435848518,1.928486536,0.405254043,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,NA,0.076028205,0.139418804,0.114306338,-0.019777373,0.083184946,-0.09167968,0.179382712,0.063843276,0.199805764,0.146587759,0.199340375,0.312271032,0.059891717,0.003198485,0.276975421,0.136514022,0.063816542,0.15250988,0.189098392,-0.231409163,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,NA,0.159269912,0.199156005,0.076431937,0.03720401,0.269256012,-0.040775636,0.055659453,-0.134987534,0.222477639,0.173681703,0.203997616,0.068391856,0.014078063,0.120185128,0.103300958,0.284485081,-0.383137551,0.256369305,0.154062834,-0.098584689,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",NA,0.009448748,-0.016583108,0.009146368,-0.020203863,-0.025763374,-0.013632124,0.001442437,-0.003662546,0.011338101,-0.001780848,0.008670984,-0.001033651,0.004222589,-0.012506124,0.011286604,0.007140318,-0.01269453,0.011897916,-0.003125695,-0.007839252,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",NA,-0.013300432,-0.006989647,-0.011885658,-0.037491322,-0.086065625,-0.026880589,0.00793808,-0.03655629,-0.01847493,-0.049151132,-0.005613601,-0.010901114,-0.031805424,-0.032857244,-0.009434414,-0.018385576,-0.044715781,0.021545135,0.003824738,0.005610902,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,NA,0.009803731,-0.051107811,0.004919144,0.013771654,-0.008803327,-0.020486289,-0.023059079,-0.006749635,0.024465991,-0.050825639,0.006584162,0.009088078,-0.005529796,-0.001984826,0.005597024,-0.004879033,-0.00927366,0.005505019,0.005165131,-0.005725999,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,NA,-0.004891636,0.014940957,0.035281794,0.017242981,0.019177163,0.023412172,0.071758041,0.091524543,-0.017363978,-0.13713536,0.016122807,0.040167839,0.049769024,0.022574909,-0.011393328,-0.013365451,-0.005288143,0.044327057,0.013638558,-0.03717079,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,NA,0.06584862,0.123873067,0.10341593,-0.213207387,-0.070407126,-0.316935329,0.050829664,0.010500078,0.194652488,-0.135005396,0.076317741,0.151388147,0.110999299,0.093586045,0.137688947,0.071529282,-0.157551144,0.312604991,0.365125647,0.21654552,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,NA,0.019017198,0.02144933,0.024626,-0.017841411,-0.003960726,-0.009240495,0.015590105,0.024497312,0.026833165,-0.040970517,-8.81067E-05,0.012948194,0.036088871,0.007981061,-0.012438325,-0.003570387,-0.020616331,0.031690198,-0.04898279,-0.016475063,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,NA,0.222213414,-0.188345447,-0.002287239,-0.074000932,-0.057507506,-0.155097541,0.241560842,0.04545212,0.007056728,-0.171989931,0.153395088,0.058426731,-0.019730865,0.005107853,-0.067463907,-0.071477804,-0.10903891,0.093533721,-0.034171841,-0.029982125,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",NA,-1.089174288,0.307314679,0.945595085,0.083703052,-0.968942821,-0.282977921,0.577230166,-0.338169788,0.638586125,0.700987992,1.142474544,0.490595022,-0.110576923,-0.025374806,-0.06986857,0.178933455,-1.146471204,0.409365699,1.291941101,0.650828643,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",NA,0.037468717,-1.83655E-05,-0.004607109,-0.012551883,-0.003600106,-0.029118981,0.035471869,0.024571863,-0.009892858,-0.027162128,-0.007602277,0.030333611,0.002257076,-0.026137086,-0.00962304,-0.007739573,-0.011111279,0.042353851,0.001791551,-0.04188767,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,NA,-0.00061064,0.02799628,0.019514677,0.016485149,-0.030855808,0.002683201,-0.000345653,0.020087031,0.013373636,0.014025638,0.021520104,0.011481474,0.000389611,-0.011071995,0.008459084,-0.009553184,-0.047851952,0.054145745,-0.00988109,0.00134373,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,NA,1.839625381,1.11383419,2.702113557,1.826603475,1.235702249,-2.810723585,3.583439059,2.335136719,1.942576121,1.167130321,1.238605205,1.715238318,2.682314381,1.03292946,2.541608799,0.441437604,-4.807881945,3.489144285,2.136247652,1.810890521,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|43---Comercio al por mayor<C1>,NA,0.370970372,0.276429077,0.90688059,0.480359604,0.171755995,-1.008491967,1.227772709,0.931219666,0.55448577,0.164947957,0.907239258,0.634603447,0.822720966,0.032174479,1.085981407,0.065394961,-0.878990155,1.024623144,0.945946679,0.576837417,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|46---Comercio al por menor<C1>,NA,0.48711164,0.304870941,0.360547673,0.049195746,0.021404859,-0.922364126,0.960020248,0.532192305,0.094651398,0.119607813,-0.03924825,-0.152625861,0.456448642,-0.061700515,0.494193855,-0.100790597,-0.750468394,0.545709309,0.59061815,0.499602491,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",NA,0.224945701,0.080916022,0.23167561,0.153359003,-0.122529255,-0.314862488,0.427553831,0.126494739,0.170457921,0.166966543,0.269736141,0.338817694,0.296622996,0.206896578,0.304741646,-0.007805587,-1.048637568,0.941731342,0.862604484,0.213537522,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|51---Información en medios masivos<C1>,NA,0.038540596,0.037673629,0.045569545,0.070418784,0.035031659,0.017238324,0.014447558,0.021920385,0.082331568,0.018170224,0.031544392,0.109551628,0.146482054,0.057998218,0.077670858,0.027227202,-0.096793301,0.053148398,0.076298096,0.100360049,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|52---Servicios financieros y de seguros<C1>,NA,0.277865207,-0.180817186,0.13986962,0.093779349,0.304540183,0.100527,0.382584529,-0.031890928,0.115989461,0.329212462,0.01120085,0.198586203,0.260692478,0.325362267,0.10704064,0.139110848,-0.089777719,0.162569239,0.270351398,0.240872406,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,NA,0.2919105,0.216259283,0.351322081,0.30206758,0.298389513,0.132259935,0.320576148,0.294012589,0.285289332,0.090873622,0.229418458,0.254172627,0.213872461,0.132365855,0.201140361,0.178408024,0.088584593,0.301742842,0.178239949,0.197172105,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",NA,-0.094396072,0.090338339,0.067404171,0.105294147,0.242645034,-0.322192641,0.049597872,0.111621763,-0.004741536,0.033006345,0.131093846,0.065576554,-0.020612008,0.107058992,0.053705902,-0.085937499,0.027793193,0.187109248,0.08379125,0.065631449,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|55---Corporativos<C1>,NA,-0.000544148,-0.000929344,0.001464636,0.000633057,-0.000315116,0.000662704,0.001382991,0.000937952,0.001113882,-0.00099307,0.001344387,0.001247921,0.002068602,0.000959665,-0.000169541,0.000864393,0.00018765,0.00280395,0.003411537,2.67022E-06,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación<C1>",NA,0.197908926,0.084061659,0.370045374,0.246844399,0.27368155,-0.465644039,-0.046898709,0.147821011,-0.007701655,0.072358716,-0.11048103,0.002685681,0.0837537,0.213723393,0.07209327,0.097266955,-0.110558215,-0.650332921,-1.627860036,-0.010716409,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|61---Servicios educativos<C1>,NA,0.070228859,0.004999192,-0.03259953,0.084966031,-0.031577046,0.042925108,0.072505372,0.009545049,0.083769833,0.061515025,-0.059100072,-0.040553896,0.061675273,-0.063749109,-0.031103188,-0.044839596,-0.091268956,-0.043500686,0.092341641,0.056723276,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,NA,0.001086893,-0.089194784,0.122199622,0.047773066,-0.018612287,0.035529331,-0.01516851,0.091219809,0.096840647,0.011410593,-0.013465933,-0.087221476,0.141487865,0.026320751,0.143078201,0.128015747,-0.163838651,0.156179236,0.03518026,-0.005585089,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",NA,0.012517539,0.002857644,0.0305029,0.036200358,0.006625555,-0.026894864,0.022309924,0.004155487,0.015297463,0.017108567,-0.00168803,0.021736269,0.027603183,0.015953413,0.00932365,-0.004915061,-0.250448565,0.103961629,0.198577259,0.02975677,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,NA,-0.132552151,0.208745296,0.083033233,0.015101797,0.000332796,-0.199454306,-0.034256041,0.05615246,0.076586743,0.120424209,-0.116643152,0.329681646,0.055914095,0.035189299,0.025395986,0.009992877,-1.11895592,0.683420538,0.408086538,-0.252571066,
Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,NA,0.106686993,0.073691553,0.033886028,0.109157787,0.059934531,-0.019102147,0.011208136,-0.001224101,0.121078475,-0.002570574,0.027122411,0.041050819,0.116953622,0.00858956,0.036715901,0.039624394,-0.311858654,0.048008173,0.0342832,0.080530751,
"Contribución a la variación del estado en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",NA,-0.012655473,0.003932869,-0.009687997,0.031452767,-0.00560572,0.139140592,0.189803001,0.040958534,0.25712682,-0.034908111,-0.029468072,-0.002070938,0.016630451,-0.004213386,-0.038200147,-0.000179457,-0.012851282,-0.028029154,-0.015622753,0.018736179,
Índice de volumen físico base 2018=100|B.1bP---Producto interno bruto<C1>,69.10189009,71.08174408,72.67533424,76.3893372,78.67643586,80.26657106,74.99128969,79.44884483,81.70118131,84.86114383,86.3122952,89.36640544,92.73570941,95.56711422,97.3754401,100,100.7378839,92.59080167,97.62302485,102.4756999,104.5832256,
"Índice de volumen físico base 2018=100|D.21-D.31---Impuestos sobre los productos, netos",80.73512187,82.64895144,86.7602074,90.9207434,90.4965522,97.00408662,85.78283101,86.26087446,82.67126685,86.60996743,86.24408556,90.42601166,95.44381799,95.87780883,97.1702953,100,104.2608461,87.56461515,97.13167858,104.3744215,107.037052,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,68.32102261,70.30530842,71.72990311,75.41393305,77.88302396,79.14308433,74.26691973,78.99159508,81.63606542,84.74375603,86.31687369,89.29528057,92.5539307,95.5462592,97.38921021,100,100.5014091,92.92817873,97.65600591,102.3482504,104.4185153,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,64.48600562,72.54565784,69.30639233,73.96209978,80.00025134,81.80717752,70.84564685,77.8508597,77.7572365,85.78384631,85.69946592,96.66044052,93.33424885,94.87852111,96.46076757,100,102.3928957,105.1109875,104.0346047,108.4518501,107.4028279,
"Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",64.48600562,72.54565784,69.30639233,73.96209978,80.00025134,81.80717752,70.84564685,77.8508597,77.7572365,85.78384631,85.69946592,96.66044052,93.33424885,94.87852111,96.46076757,100,102.3928957,105.1109875,104.0346047,108.4518501,107.4028279,
"Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",56.02596901,68.70245523,64.93735665,68.0667249,77.34473538,80.87308403,60.27781809,68.83540608,69.92361924,79.97749722,82.14585563,102.0862709,94.32185413,95.24158172,96.39891032,100,102.2487456,104.4102459,100.2156585,107.2711803,102.8723054,
"Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",71.11585515,73.45029119,73.63822673,78.17519386,80.92305457,80.96901122,82.80878502,85.47297016,86.70736737,86.47267058,89.73252648,90.6488952,91.96523095,94.73091178,96.63211247,100,102.6138065,106.163292,108.7182684,110.0842134,113.0516402,
"Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",52.236575,70.74861458,54.25481224,53.66017637,194.1169559,78.68775416,48.32803535,52.19480036,33.49673309,37.36545629,85.03293016,91.52823378,89.6385841,100.9614694,109.0455148,100,92.28605184,56.75606875,38.56256079,30.36167699,45.93121545,
"Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",210.9335528,235.3896933,104.5372987,196.5540697,160.9121634,170.4589505,85.60135757,210.2555785,89.19610165,370.0828613,89.11733579,85.66755333,104.3994331,81.43467401,89.91280001,100,101.4613753,101.4547862,101.693618,108.2343269,97.8582174,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,72.53096847,72.99777053,75.53005478,79.8069941,81.82330326,82.19556157,76.28150192,80.97431505,83.1656709,86.20945834,87.91352545,91.7646653,97.72430665,98.52515493,100.7950089,100,99.62850733,91.23255552,95.6298036,102.8250073,103.3254933,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,43.85074909,39.61026261,42.89870699,39.73642256,50.96033404,57.83844453,65.71617423,99.93141498,123.8220104,133.7186242,182.5272531,166.568963,114.8724647,138.4837336,152.0722287,100,88.14545124,129.2215188,126.5633242,131.2803317,56.57067138,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,43.85074909,39.61026261,42.89870699,39.73642256,50.96033404,57.83844453,65.71617423,99.93141498,123.8220104,133.7186242,182.5272531,166.568963,114.8724647,138.4837336,152.0722287,100,88.14545124,129.2215188,126.5633242,131.2803317,56.57067138,
"Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",57.17453513,63.55199837,63.69074735,77.36789478,85.78292158,84.48859369,82.76695228,85.01695776,81.61873906,83.46796372,85.30845685,90.20118873,92.83584174,93.49071621,99.11079841,100,99.13126366,104.5688355,84.53929702,83.63599064,80.14573692,
Índice de volumen físico base 2018=100|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,63.96079914,70.42014085,75.03744062,76.74597016,85.78469876,97.77645516,83.48670632,87.30481217,98.76559141,94.9235471,93.17340525,86.29305011,99.42748084,99.60299708,105.4088444,100,90.99875305,79.34764601,82.33962177,84.92578633,86.64834349,
